date,ingredient,students_present,meals_served,opening_stock,received_quantity,closing_stock,consumption,day_of_week,month,holiday,current_stock,minimum_stock
2025-04-13,Dal,0,0,134.96,0.0,134.96,0.0,Sunday,4,0,134.96,35
2025-04-13,Wheat,0,0,217.12,0.0,217.12,0.0,Sunday,4,0,217.12,60
2025-04-13,Oil,0,0,55.19,0.0,55.19,0.0,Sunday,4,0,55.19,15
2025-04-14,Rice,473,473,382.02,0.0,169.24,212.78,Monday,4,0,169.24,100
2025-04-14,Dal,473,473,134.96,0.0,64.11,70.85,Monday,4,0,64.11,35
2025-04-14,Wheat,473,473,217.12,0.0,86.47,130.65,Monday,4,0,86.47,60
2025-04-14,Oil,473,473,55.19,0.0,29.37,25.82,Monday,4,0,29.37,15
2025-04-15,Rice,459,459,169.24,650.63,600.0,219.87,Tuesday,4,0,600.0,100
2025-04-15,Dal,459,459,64.11,201.86,200.0,65.97,Tuesday,4,0,200.0,35
2025-04-15,Wheat,459,459,86.47,375.55,350.0,112.02,Tuesday,4,0,350.0,60
2025-04-15,Oil,459,459,29.37,75.27,80.0,24.64,Tuesday,4,0,80.0,15
2025-04-16,Rice,488,488,600.0,0.0,376.3,223.7,Wednesday,4,0,376.3,100
2025-04-16,Dal,488,488,200.0,0.0,128.48,71.52,Wednesday,4,0,128.48,35
2025-04-16,Wheat,488,488,350.0,0.0,217.74,132.26,Wednesday,4,0,217.74,60
2025-04-16,Oil,488,488,80.0,0.0,54.74,25.26,Wednesday,4,0,54.74,15
2025-04-17,Rice,429,429,376.3,0.0,161.06,215.24,Thursday,4,0,161.06,100
2025-04-17,Dal,429,429,128.48,0.0,63.35,65.13,Thursday,4,0,63.35,35
2025-04-17,Wheat,429,429,217.74,0.0,103.56,114.18,Thursday,4,0,103.56,60
2025-04-17,Oil,429,429,54.74,0.0,29.87,24.87,Thursday,4,0,29.87,15
2025-04-18,Rice,437,437,161.06,657.47,600.0,218.53,Friday,4,0,600.0,100
2025-04-18,Dal,437,437,63.35,196.21,200.0,59.56,Friday,4,0,200.0,35
2025-04-18,Wheat,437,437,103.56,358.98,350.0,112.54,Friday,4,0,350.0,60
2025-04-18,Oil,437,437,29.87,76.08,80.0,25.95,Friday,4,0,80.0,15
2025-04-19,Rice,0,0,600.0,0.0,600.0,0.0,Saturday,4,0,600.0,100
2025-04-19,Dal,0,0,200.0,0.0,200.0,0.0,Saturday,4,0,200.0,35
2025-04-19,Wheat,0,0,350.0,0.0,350.0,0.0,Saturday,4,0,350.0,60
2025-04-19,Oil,0,0,80.0,0.0,80.0,0.0,Saturday,4,0,80.0,15
2025-04-20,Rice,0,0,600.0,0.0,600.0,0.0,Sunday,4,0,600.0,100
2025-04-20,Dal,0,0,200.0,0.0,200.0,0.0,Sunday,4,0,200.0,35
2025-04-20,Wheat,0,0,350.0,0.0,350.0,0.0,Sunday,4,0,350.0,60
2025-04-20,Oil,0,0,80.0,0.0,80.0,0.0,Sunday,4,0,80.0,15
2025-04-21,Rice,450,450,600.0,0.0,397.52,202.48,Monday,4,0,397.52,100
2025-04-21,Dal,450,450,200.0,0.0,138.49,61.51,Monday,4,0,138.49,35
2025-04-21,Wheat,450,450,350.0,0.0,226.9,123.1,Monday,4,0,226.9,60
2025-04-21,Oil,450,450,80.0,0.0,54.44,25.56,Monday,4,0,54.44,15
2025-04-22,Rice,444,444,397.52,0.0,183.5,214.02,Tuesday,4,0,183.5,100
2025-04-22,Dal,444,444,138.49,0.0,73.06,65.43,Tuesday,4,0,73.06,35
2025-04-22,Wheat,444,444,226.9,0.0,110.89,116.01,Tuesday,4,0,110.89,60
2025-04-22,Oil,444,444,54.44,0.0,31.42,23.02,Tuesday,4,0,31.42,15
2025-04-23,Rice,451,451,183.5,613.08,600.0,196.58,Wednesday,4,0,600.0,100
2025-04-23,Dal,451,451,73.06,192.98,200.0,66.04,Wednesday,4,0,200.0,35
2025-04-23,Wheat,451,451,110.89,354.98,350.0,115.87,Wednesday,4,0,350.0,60
2025-04-23,Oil,451,451,31.42,74.17,80.0,25.59,Wednesday,4,0,80.0,15
2025-04-24,Rice,511,511,600.0,0.0,351.08,248.92,Thursday,4,0,351.08,100
2025-04-24,Dal,511,511,200.0,0.0,126.49,73.51,Thursday,4,0,126.49,35
2025-04-24,Wheat,511,511,350.0,0.0,213.76,136.24,Thursday,4,0,213.76,60
2025-04-24,Oil,511,511,80.0,0.0,51.13,28.87,Thursday,4,0,51.13,15
2025-04-25,Rice,425,425,351.08,0.0,160.13,190.95,Friday,4,0,160.13,100
2025-04-25,Dal,425,425,126.49,0.0,67.03,59.46,Friday,4,0,67.03,35
2025-04-25,Wheat,425,425,213.76,0.0,103.39,110.37,Friday,4,0,103.39,60
2025-04-25,Oil,425,425,51.13,0.0,27.96,23.17,Friday,4,0,27.96,15
2025-04-26,Rice,0,0,160.13,0.0,160.13,0.0,Saturday,4,0,160.13,100
2025-04-26,Dal,0,0,67.03,0.0,67.03,0.0,Saturday,4,0,67.03,35
2025-04-26,Wheat,0,0,103.39,0.0,103.39,0.0,Saturday,4,0,103.39,60
2025-04-26,Oil,0,0,27.96,0.0,27.96,0.0,Saturday,4,0,27.96,15
2025-04-27,Rice,0,0,160.13,0.0,160.13,0.0,Sunday,4,0,160.13,100
2025-04-27,Dal,0,0,67.03,0.0,67.03,0.0,Sunday,4,0,67.03,35
2025-04-27,Wheat,0,0,103.39,0.0,103.39,0.0,Sunday,4,0,103.39,60
2025-04-27,Oil,0,0,27.96,0.0,27.96,0.0,Sunday,4,0,27.96,15
2025-04-28,Rice,435,435,160.13,644.4,600.0,204.53,Monday,4,0,600.0,100
2025-04-28,Dal,435,435,67.03,196.17,200.0,63.2,Monday,4,0,200.0,35
2025-04-28,Wheat,435,435,103.39,356.35,350.0,109.74,Monday,4,0,350.0,60
2025-04-28,Oil,435,435,27.96,78.18,80.0,26.14,Monday,4,0,80.0,15
2025-04-29,Rice,470,470,600.0,0.0,372.46,227.54,Tuesday,4,0,372.46,100
2025-04-29,Dal,470,470,200.0,0.0,133.67,66.33,Tuesday,4,0,133.67,35
2025-04-29,Wheat,470,470,350.0,0.0,224.99,125.01,Tuesday,4,0,224.99,60
2025-04-29,Oil,470,470,80.0,0.0,52.48,27.52,Tuesday,4,0,52.48,15
2025-04-30,Rice,419,419,372.46,0.0,182.98,189.48,Wednesday,4,0,182.98,100
2025-04-30,Dal,419,419,133.67,0.0,69.32,64.35,Wednesday,4,0,69.32,35
2025-04-30,Wheat,419,419,224.99,0.0,105.68,119.31,Wednesday,4,0,105.68,60
2025-04-30,Oil,419,419,52.48,0.0,29.85,22.63,Wednesday,4,0,29.85,15
2025-05-01,Rice,0,0,182.98,0.0,182.98,0.0,Thursday,5,1,182.98,100
2025-05-01,Dal,0,0,69.32,0.0,69.32,0.0,Thursday,5,1,69.32,35
2025-05-01,Wheat,0,0,105.68,0.0,105.68,0.0,Thursday,5,1,105.68,60
2025-05-01,Oil,0,0,29.85,0.0,29.85,0.0,Thursday,5,1,29.85,15
2025-05-02,Rice,0,0,182.98,0.0,182.98,0.0,Friday,5,1,182.98,100
2025-05-02,Dal,0,0,69.32,0.0,69.32,0.0,Friday,5,1,69.32,35
2025-05-02,Wheat,0,0,105.68,0.0,105.68,0.0,Friday,5,1,105.68,60
2025-05-02,Oil,0,0,29.85,0.0,29.85,0.0,Friday,5,1,29.85,15
2025-05-03,Rice,0,0,182.98,0.0,182.98,0.0,Saturday,5,1,182.98,100
2025-05-03,Dal,0,0,69.32,0.0,69.32,0.0,Saturday,5,1,69.32,35
2025-05-03,Wheat,0,0,105.68,0.0,105.68,0.0,Saturday,5,1,105.68,60
2025-05-03,Oil,0,0,29.85,0.0,29.85,0.0,Saturday,5,1,29.85,15
2025-05-04,Rice,0,0,182.98,0.0,182.98,0.0,Sunday,5,1,182.98,100
2025-05-04,Dal,0,0,69.32,0.0,69.32,0.0,Sunday,5,1,69.32,35
2025-05-04,Wheat,0,0,105.68,0.0,105.68,0.0,Sunday,5,1,105.68,60
2025-05-04,Oil,0,0,29.85,0.0,29.85,0.0,Sunday,5,1,29.85,15
2025-05-05,Rice,0,0,182.98,0.0,182.98,0.0,Monday,5,1,182.98,100
2025-05-05,Dal,0,0,69.32,0.0,69.32,0.0,Monday,5,1,69.32,35
2025-05-05,Wheat,0,0,105.68,0.0,105.68,0.0,Monday,5,1,105.68,60
2025-05-05,Oil,0,0,29.85,0.0,29.85,0.0,Monday,5,1,29.85,15
2025-05-06,Rice,0,0,182.98,0.0,182.98,0.0,Tuesday,5,1,182.98,100
2025-05-06,Dal,0,0,69.32,0.0,69.32,0.0,Tuesday,5,1,69.32,35
2025-05-06,Wheat,0,0,105.68,0.0,105.68,0.0,Tuesday,5,1,105.68,60
2025-05-06,Oil,0,0,29.85,0.0,29.85,0.0,Tuesday,5,1,29.85,15
2025-05-07,Rice,0,0,182.98,0.0,182.98,0.0,Wednesday,5,1,182.98,100
2025-05-07,Dal,0,0,69.32,0.0,69.32,0.0,Wednesday,5,1,69.32,35
2025-05-07,Wheat,0,0,105.68,0.0,105.68,0.0,Wednesday,5,1,105.68,60
2025-05-07,Oil,0,0,29.85,0.0,29.85,0.0,Wednesday,5,1,29.85,15
2025-05-08,Rice,0,0,182.98,0.0,182.98,0.0,Thursday,5,1,182.98,100
2025-05-08,Dal,0,0,69.32,0.0,69.32,0.0,Thursday,5,1,69.32,35
2025-05-08,Wheat,0,0,105.68,0.0,105.68,0.0,Thursday,5,1,105.68,60
2025-05-08,Oil,0,0,29.85,0.0,29.85,0.0,Thursday,5,1,29.85,15
2025-05-09,Rice,0,0,182.98,0.0,182.98,0.0,Friday,5,1,182.98,100
2025-05-09,Dal,0,0,69.32,0.0,69.32,0.0,Friday,5,1,69.32,35
2025-05-09,Wheat,0,0,105.68,0.0,105.68,0.0,Friday,5,1,105.68,60
2025-05-09,Oil,0,0,29.85,0.0,29.85,0.0,Friday,5,1,29.85,15
2025-05-10,Rice,0,0,182.98,0.0,182.98,0.0,Saturday,5,1,182.98,100
2025-05-10,Dal,0,0,69.32,0.0,69.32,0.0,Saturday,5,1,69.32,35
2025-05-10,Wheat,0,0,105.68,0.0,105.68,0.0,Saturday,5,1,105.68,60
2025-05-10,Oil,0,0,29.85,0.0,29.85,0.0,Saturday,5,1,29.85,15
2025-05-11,Rice,0,0,182.98,0.0,182.98,0.0,Sunday,5,1,182.98,100
2025-05-11,Dal,0,0,69.32,0.0,69.32,0.0,Sunday,5,1,69.32,35
2025-05-11,Wheat,0,0,105.68,0.0,105.68,0.0,Sunday,5,1,105.68,60
2025-05-11,Oil,0,0,29.85,0.0,29.85,0.0,Sunday,5,1,29.85,15
2025-05-12,Rice,0,0,182.98,0.0,182.98,0.0,Monday,5,1,182.98,100
2025-05-12,Dal,0,0,69.32,0.0,69.32,0.0,Monday,5,1,69.32,35
2025-05-12,Wheat,0,0,105.68,0.0,105.68,0.0,Monday,5,1,105.68,60
2025-05-12,Oil,0,0,29.85,0.0,29.85,0.0,Monday,5,1,29.85,15
2025-05-13,Rice,0,0,182.98,0.0,182.98,0.0,Tuesday,5,1,182.98,100
2025-05-13,Dal,0,0,69.32,0.0,69.32,0.0,Tuesday,5,1,69.32,35
2025-05-13,Wheat,0,0,105.68,0.0,105.68,0.0,Tuesday,5,1,105.68,60
2025-05-13,Oil,0,0,29.85,0.0,29.85,0.0,Tuesday,5,1,29.85,15
2025-05-14,Rice,0,0,182.98,0.0,182.98,0.0,Wednesday,5,1,182.98,100
2025-05-14,Dal,0,0,69.32,0.0,69.32,0.0,Wednesday,5,1,69.32,35
2025-05-14,Wheat,0,0,105.68,0.0,105.68,0.0,Wednesday,5,1,105.68,60
2025-05-14,Oil,0,0,29.85,0.0,29.85,0.0,Wednesday,5,1,29.85,15
2025-05-15,Rice,0,0,182.98,0.0,182.98,0.0,Thursday,5,1,182.98,100
2025-05-15,Dal,0,0,69.32,0.0,69.32,0.0,Thursday,5,1,69.32,35
2025-05-15,Wheat,0,0,105.68,0.0,105.68,0.0,Thursday,5,1,105.68,60
2025-05-15,Oil,0,0,29.85,0.0,29.85,0.0,Thursday,5,1,29.85,15
2025-05-16,Rice,0,0,182.98,0.0,182.98,0.0,Friday,5,1,182.98,100
2025-05-16,Dal,0,0,69.32,0.0,69.32,0.0,Friday,5,1,69.32,35
2025-05-16,Wheat,0,0,105.68,0.0,105.68,0.0,Friday,5,1,105.68,60
2025-05-16,Oil,0,0,29.85,0.0,29.85,0.0,Friday,5,1,29.85,15
2025-05-17,Rice,0,0,182.98,0.0,182.98,0.0,Saturday,5,1,182.98,100
2025-05-17,Dal,0,0,69.32,0.0,69.32,0.0,Saturday,5,1,69.32,35
2025-05-17,Wheat,0,0,105.68,0.0,105.68,0.0,Saturday,5,1,105.68,60
2025-05-17,Oil,0,0,29.85,0.0,29.85,0.0,Saturday,5,1,29.85,15
2025-05-18,Rice,0,0,182.98,0.0,182.98,0.0,Sunday,5,1,182.98,100
2025-05-18,Dal,0,0,69.32,0.0,69.32,0.0,Sunday,5,1,69.32,35
2025-05-18,Wheat,0,0,105.68,0.0,105.68,0.0,Sunday,5,1,105.68,60
2025-05-18,Oil,0,0,29.85,0.0,29.85,0.0,Sunday,5,1,29.85,15
2025-05-19,Rice,0,0,182.98,0.0,182.98,0.0,Monday,5,1,182.98,100
2025-05-19,Dal,0,0,69.32,0.0,69.32,0.0,Monday,5,1,69.32,35
2025-05-19,Wheat,0,0,105.68,0.0,105.68,0.0,Monday,5,1,105.68,60
2025-05-19,Oil,0,0,29.85,0.0,29.85,0.0,Monday,5,1,29.85,15
2025-05-20,Rice,0,0,182.98,0.0,182.98,0.0,Tuesday,5,1,182.98,100
2025-05-20,Dal,0,0,69.32,0.0,69.32,0.0,Tuesday,5,1,69.32,35
2025-05-20,Wheat,0,0,105.68,0.0,105.68,0.0,Tuesday,5,1,105.68,60
2025-05-20,Oil,0,0,29.85,0.0,29.85,0.0,Tuesday,5,1,29.85,15
2025-05-21,Rice,0,0,182.98,0.0,182.98,0.0,Wednesday,5,1,182.98,100
2025-05-21,Dal,0,0,69.32,0.0,69.32,0.0,Wednesday,5,1,69.32,35
2025-05-21,Wheat,0,0,105.68,0.0,105.68,0.0,Wednesday,5,1,105.68,60
2025-05-21,Oil,0,0,29.85,0.0,29.85,0.0,Wednesday,5,1,29.85,15
2025-05-22,Rice,0,0,182.98,0.0,182.98,0.0,Thursday,5,1,182.98,100
2025-05-22,Dal,0,0,69.32,0.0,69.32,0.0,Thursday,5,1,69.32,35
2025-05-22,Wheat,0,0,105.68,0.0,105.68,0.0,Thursday,5,1,105.68,60
2025-05-22,Oil,0,0,29.85,0.0,29.85,0.0,Thursday,5,1,29.85,15
2025-05-23,Rice,0,0,182.98,0.0,182.98,0.0,Friday,5,1,182.98,100
2025-05-23,Dal,0,0,69.32,0.0,69.32,0.0,Friday,5,1,69.32,35
2025-05-23,Wheat,0,0,105.68,0.0,105.68,0.0,Friday,5,1,105.68,60
2025-05-23,Oil,0,0,29.85,0.0,29.85,0.0,Friday,5,1,29.85,15
2025-05-24,Rice,0,0,182.98,0.0,182.98,0.0,Saturday,5,1,182.98,100
2025-05-24,Dal,0,0,69.32,0.0,69.32,0.0,Saturday,5,1,69.32,35
2025-05-24,Wheat,0,0,105.68,0.0,105.68,0.0,Saturday,5,1,105.68,60
2025-05-24,Oil,0,0,29.85,0.0,29.85,0.0,Saturday,5,1,29.85,15
2025-05-25,Rice,0,0,182.98,0.0,182.98,0.0,Sunday,5,1,182.98,100
2025-05-25,Dal,0,0,69.32,0.0,69.32,0.0,Sunday,5,1,69.32,35
2025-05-25,Wheat,0,0,105.68,0.0,105.68,0.0,Sunday,5,1,105.68,60
2025-05-25,Oil,0,0,29.85,0.0,29.85,0.0,Sunday,5,1,29.85,15
2025-05-26,Rice,0,0,182.98,0.0,182.98,0.0,Monday,5,1,182.98,100
2025-05-26,Dal,0,0,69.32,0.0,69.32,0.0,Monday,5,1,69.32,35
2025-05-26,Wheat,0,0,105.68,0.0,105.68,0.0,Monday,5,1,105.68,60
2025-05-26,Oil,0,0,29.85,0.0,29.85,0.0,Monday,5,1,29.85,15
2025-05-27,Rice,0,0,182.98,0.0,182.98,0.0,Tuesday,5,1,182.98,100
2025-05-27,Dal,0,0,69.32,0.0,69.32,0.0,Tuesday,5,1,69.32,35
2025-05-27,Wheat,0,0,105.68,0.0,105.68,0.0,Tuesday,5,1,105.68,60
2025-05-27,Oil,0,0,29.85,0.0,29.85,0.0,Tuesday,5,1,29.85,15
2025-05-28,Rice,0,0,182.98,0.0,182.98,0.0,Wednesday,5,1,182.98,100
2025-05-28,Dal,0,0,69.32,0.0,69.32,0.0,Wednesday,5,1,69.32,35
2025-05-28,Wheat,0,0,105.68,0.0,105.68,0.0,Wednesday,5,1,105.68,60
2025-05-28,Oil,0,0,29.85,0.0,29.85,0.0,Wednesday,5,1,29.85,15
2025-05-29,Rice,0,0,182.98,0.0,182.98,0.0,Thursday,5,1,182.98,100
2025-05-29,Dal,0,0,69.32,0.0,69.32,0.0,Thursday,5,1,69.32,35
2025-05-29,Wheat,0,0,105.68,0.0,105.68,0.0,Thursday,5,1,105.68,60
2025-05-29,Oil,0,0,29.85,0.0,29.85,0.0,Thursday,5,1,29.85,15
2025-05-30,Rice,0,0,182.98,0.0,182.98,0.0,Friday,5,1,182.98,100
2025-05-30,Dal,0,0,69.32,0.0,69.32,0.0,Friday,5,1,69.32,35
2025-05-30,Wheat,0,0,105.68,0.0,105.68,0.0,Friday,5,1,105.68,60
2025-05-30,Oil,0,0,29.85,0.0,29.85,0.0,Friday,5,1,29.85,15
2025-05-31,Rice,0,0,182.98,0.0,182.98,0.0,Saturday,5,1,182.98,100
2025-05-31,Dal,0,0,69.32,0.0,69.32,0.0,Saturday,5,1,69.32,35
2025-05-31,Wheat,0,0,105.68,0.0,105.68,0.0,Saturday,5,1,105.68,60
2025-05-31,Oil,0,0,29.85,0.0,29.85,0.0,Saturday,5,1,29.85,15
2025-06-01,Rice,0,0,182.98,0.0,182.98,0.0,Sunday,6,1,182.98,100
2025-06-01,Dal,0,0,69.32,0.0,69.32,0.0,Sunday,6,1,69.32,35
2025-06-01,Wheat,0,0,105.68,0.0,105.68,0.0,Sunday,6,1,105.68,60
2025-06-01,Oil,0,0,29.85,0.0,29.85,0.0,Sunday,6,1,29.85,15
2025-06-02,Rice,0,0,182.98,0.0,182.98,0.0,Monday,6,1,182.98,100
2025-06-02,Dal,0,0,69.32,0.0,69.32,0.0,Monday,6,1,69.32,35
2025-06-02,Wheat,0,0,105.68,0.0,105.68,0.0,Monday,6,1,105.68,60
2025-06-02,Oil,0,0,29.85,0.0,29.85,0.0,Monday,6,1,29.85,15
2025-06-03,Rice,0,0,182.98,0.0,182.98,0.0,Tuesday,6,1,182.98,100
2025-06-03,Dal,0,0,69.32,0.0,69.32,0.0,Tuesday,6,1,69.32,35
2025-06-03,Wheat,0,0,105.68,0.0,105.68,0.0,Tuesday,6,1,105.68,60
2025-06-03,Oil,0,0,29.85,0.0,29.85,0.0,Tuesday,6,1,29.85,15
2025-06-04,Rice,0,0,182.98,0.0,182.98,0.0,Wednesday,6,1,182.98,100
2025-06-04,Dal,0,0,69.32,0.0,69.32,0.0,Wednesday,6,1,69.32,35
2025-06-04,Wheat,0,0,105.68,0.0,105.68,0.0,Wednesday,6,1,105.68,60
2025-06-04,Oil,0,0,29.85,0.0,29.85,0.0,Wednesday,6,1,29.85,15
2025-06-05,Rice,0,0,182.98,0.0,182.98,0.0,Thursday,6,1,182.98,100
2025-06-05,Dal,0,0,69.32,0.0,69.32,0.0,Thursday,6,1,69.32,35
2025-06-05,Wheat,0,0,105.68,0.0,105.68,0.0,Thursday,6,1,105.68,60
2025-06-05,Oil,0,0,29.85,0.0,29.85,0.0,Thursday,6,1,29.85,15
2025-06-06,Rice,0,0,182.98,0.0,182.98,0.0,Friday,6,1,182.98,100
2025-06-06,Dal,0,0,69.32,0.0,69.32,0.0,Friday,6,1,69.32,35
2025-06-06,Wheat,0,0,105.68,0.0,105.68,0.0,Friday,6,1,105.68,60
2025-06-06,Oil,0,0,29.85,0.0,29.85,0.0,Friday,6,1,29.85,15
2025-06-07,Rice,0,0,182.98,0.0,182.98,0.0,Saturday,6,1,182.98,100
2025-06-07,Dal,0,0,69.32,0.0,69.32,0.0,Saturday,6,1,69.32,35
2025-06-07,Wheat,0,0,105.68,0.0,105.68,0.0,Saturday,6,1,105.68,60
2025-06-07,Oil,0,0,29.85,0.0,29.85,0.0,Saturday,6,1,29.85,15
2025-06-08,Rice,0,0,182.98,0.0,182.98,0.0,Sunday,6,1,182.98,100
2025-06-08,Dal,0,0,69.32,0.0,69.32,0.0,Sunday,6,1,69.32,35
2025-06-08,Wheat,0,0,105.68,0.0,105.68,0.0,Sunday,6,1,105.68,60
2025-06-08,Oil,0,0,29.85,0.0,29.85,0.0,Sunday,6,1,29.85,15
2025-06-09,Rice,0,0,182.98,0.0,182.98,0.0,Monday,6,1,182.98,100
2025-06-09,Dal,0,0,69.32,0.0,69.32,0.0,Monday,6,1,69.32,35
2025-06-09,Wheat,0,0,105.68,0.0,105.68,0.0,Monday,6,1,105.68,60
2025-06-09,Oil,0,0,29.85,0.0,29.85,0.0,Monday,6,1,29.85,15
2025-06-10,Rice,0,0,182.98,0.0,182.98,0.0,Tuesday,6,1,182.98,100
2025-06-10,Dal,0,0,69.32,0.0,69.32,0.0,Tuesday,6,1,69.32,35
2025-06-10,Wheat,0,0,105.68,0.0,105.68,0.0,Tuesday,6,1,105.68,60
2025-06-10,Oil,0,0,29.85,0.0,29.85,0.0,Tuesday,6,1,29.85,15
2025-06-11,Rice,0,0,182.98,0.0,182.98,0.0,Wednesday,6,1,182.98,100
2025-06-11,Dal,0,0,69.32,0.0,69.32,0.0,Wednesday,6,1,69.32,35
2025-06-11,Wheat,0,0,105.68,0.0,105.68,0.0,Wednesday,6,1,105.68,60
2025-06-11,Oil,0,0,29.85,0.0,29.85,0.0,Wednesday,6,1,29.85,15
2025-06-12,Rice,0,0,182.98,0.0,182.98,0.0,Thursday,6,1,182.98,100
2025-06-12,Dal,0,0,69.32,0.0,69.32,0.0,Thursday,6,1,69.32,35
2025-06-12,Wheat,0,0,105.68,0.0,105.68,0.0,Thursday,6,1,105.68,60
2025-06-12,Oil,0,0,29.85,0.0,29.85,0.0,Thursday,6,1,29.85,15
2025-06-13,Rice,0,0,182.98,0.0,182.98,0.0,Friday,6,1,182.98,100
2025-06-13,Dal,0,0,69.32,0.0,69.32,0.0,Friday,6,1,69.32,35
2025-06-13,Wheat,0,0,105.68,0.0,105.68,0.0,Friday,6,1,105.68,60
2025-06-13,Oil,0,0,29.85,0.0,29.85,0.0,Friday,6,1,29.85,15
2025-06-14,Rice,0,0,182.98,0.0,182.98,0.0,Saturday,6,1,182.98,100
2025-06-14,Dal,0,0,69.32,0.0,69.32,0.0,Saturday,6,1,69.32,35
2025-06-14,Wheat,0,0,105.68,0.0,105.68,0.0,Saturday,6,1,105.68,60
